artist,name
Phronesis,Alive
Gregory Porter,Water
Courtney Pine,House Of Legends
Wayne Shorter Quartet,Without A Net
Michael Wollny Trio,Weltentraum
Charles Lloyd,Mirror
Ambrose Akinmusire,When The Heart Emerges Glistening
EST,301
Kenny Garrett,Pushing The World Away
Phronesis,Life to Everything
Keith Jarrett / Charlie Haden,Jasmine
Marius Neset,Golden Xplosion
John Surman,Saltash Bells
Stan Tracey Quintet,The Flying Pig
Christine Tobin,A Thousand Kisses Deep
Robert Wyatt / Gilad Atzmon / Ros Stephen,For The Ghosts Within
Kurt Elling,The Gate
Christine Tobin,Sailing To Byzantium
Sons Of Kemet,Burn
Ambrose Akinmusire,The Imagined Saviour is Far Easier to Paint
